ID,video_url,med::audio_url,desc::durat,duration,desc::silen,silence,desc::syll,syllables,desc::disflu,disfluences,annotated,desc::transcript
00_0841,https://youtu.be/cmQoMNCoZzw&t=0841,isaph/00_0841.wav,35,short,11,low,92,lots,5,negligeable,no,have you ever hear of um what is it called um spirit island
00_1308,https://youtu.be/cmQoMNCoZzw&t=1308,isaph/00_1308.wav,35,short,18,intermediate,98,lots,10,some,no,so if you had obtained both of them you would have won
00_1479,https://youtu.be/cmQoMNCoZzw&t=1479,isaph/00_1479.wav,42,medium,14,low,77,inbetween,7,negligeable,no,ok so we are fifteen inches away and after the shooting scenario
00_1680,https://youtu.be/cmQoMNCoZzw&t=1680,isaph/00_1680.wav,32,short,13,low,79,inbetween,12,some,yes,i guess we are just learning ok alright so um ok the elf attacks first if the orc survives it can strike back continue alternating turns until one or warrior is defeated so it just s- oh my med it seems starting to wear off interesting ok um the elf attacks with its spear roll green to hit and orange to wound
00_1772,https://youtu.be/cmQoMNCoZzw&t=1772,isaph/00_1772.wav,33,short,19,intermediate,75,inbetween,20,zillion,no,alright um so you can charge move or hold
07_0131,https://youtu.be/XZb0tqgOE7w&t=0131,isaph/07_0131.wav,46,medium,25,high,51,few,22,zillion,no,no um cant speak english at the moment no go ahead ok come on words um one thing I ran into
07_0473,https://youtu.be/XZb0tqgOE7w&t=0473,isaph/07_0473.wav,50,long,27,high,53,few,14,some,no,ah this is just too far of topic but there is this horror movie called the philadelphia experiment
07_0754,https://youtu.be/XZb0tqgOE7w&t=0754,isaph/07_0754.wav,54,long,20,intermediate,74,inbetween,21,zillion,no,I think for me there were five things cognitively going on which is four too many
